"","PC","ATE","SE","noise_type","noise_params","solution","data"
"28",28,4.50078813487744,0.0480395459548428,"None","None","2 4 b","sim1 5000"
"29",29,4.51086040964074,0.0482118419902612,"None","None","2 4 b","sim1 5000"
"30",30,4.43255531811587,0.0484468329518056,"None","None","2 4 b","sim1 5000"
"31",31,4.34137202054841,0.0483440240196943,"None","None","2 4 b","sim1 5000"
"32",32,4.30277982310165,0.0485714274935554,"None","None","2 4 b","sim1 5000"
"33",33,4.29244015790788,0.0488568342380441,"None","None","2 4 b","sim1 5000"
"34",34,4.27115918680994,0.0484479003206639,"None","None","2 4 b","sim1 5000"
"35",35,4.19076444316651,0.0500431543741604,"None","None","2 4 b","sim1 5000"
"36",36,4.12274043756346,0.0501236903508795,"None","None","2 4 b","sim1 5000"
"37",37,4.12417782404018,0.0502448040067359,"None","None","2 4 b","sim1 5000"
"38",38,4.11925919709262,0.0508464238237553,"None","None","2 4 b","sim1 5000"
"39",39,4.05016806781611,0.0507347210263107,"None","None","2 4 b","sim1 5000"
"40",40,4.00378138324878,0.0504899205168936,"None","None","2 4 b","sim1 5000"
"41",41,3.85123869794792,0.0508402361489764,"None","None","2 4 b","sim1 5000"
"42",42,3.7958865057742,0.0505307257516531,"None","None","2 4 b","sim1 5000"
"43",43,3.73955893131634,0.0511732940579157,"None","None","2 4 b","sim1 5000"
"44",44,3.68974550103158,0.0512791282251751,"None","None","2 4 b","sim1 5000"
"45",45,3.65058874689232,0.0511413634345511,"None","None","2 4 b","sim1 5000"
"46",46,3.57232128495649,0.0507629779945055,"None","None","2 4 b","sim1 5000"
"47",47,3.53971165009288,0.0518067903756143,"None","None","2 4 b","sim1 5000"
"48",48,3.47797126076237,0.0518810161623248,"None","None","2 4 b","sim1 5000"
"49",49,3.4429452243598,0.0516622545043276,"None","None","2 4 b","sim1 5000"
"50",50,3.43455538693728,0.0523839430189226,"None","None","2 4 b","sim1 5000"
"51",51,3.34823841282113,0.0522016151496063,"None","None","2 4 b","sim1 5000"
"52",52,3.20861170595867,0.0521221168650587,"None","None","2 4 b","sim1 5000"
"53",53,3.09959899226265,0.0519779297363518,"None","None","2 4 b","sim1 5000"
"54",54,2.96051715640384,0.0524429709796032,"None","None","2 4 b","sim1 5000"
"55",55,2.84148991994178,0.0515582194821718,"None","None","2 4 b","sim1 5000"
"56",56,2.7923555155436,0.0515869912718966,"None","None","2 4 b","sim1 5000"
"57",57,2.73300663414971,0.0515278800404886,"None","None","2 4 b","sim1 5000"
"58",58,2.6687199791215,0.0514807060093584,"None","None","2 4 b","sim1 5000"
"59",59,2.57703547421473,0.0515565343268349,"None","None","2 4 b","sim1 5000"
"60",60,2.55153133547769,0.0514895272709729,"None","None","2 4 b","sim1 5000"
"61",61,2.5460067688529,0.0513701312866626,"None","None","2 4 b","sim1 5000"
"62",62,2.50823845398786,0.0517481976657124,"None","None","2 4 b","sim1 5000"
"63",63,2.47280691836315,0.0516433517191827,"None","None","2 4 b","sim1 5000"
"64",64,2.44863179779923,0.0515145258856743,"None","None","2 4 b","sim1 5000"
"65",65,2.43515718195983,0.0517959948329618,"None","None","2 4 b","sim1 5000"
"66",66,2.36157026407944,0.0515620296596545,"None","None","2 4 b","sim1 5000"
"67",67,2.33554732772704,0.0516322381046738,"None","None","2 4 b","sim1 5000"
"68",68,2.33514486215082,0.051740602313518,"None","None","2 4 b","sim1 5000"
"69",69,2.32370335092961,0.0515244814747082,"None","None","2 4 b","sim1 5000"
"70",70,2.29425203534802,0.0515036146378189,"None","None","2 4 b","sim1 5000"
"71",71,2.29511438588375,0.0516156215660214,"None","None","2 4 b","sim1 5000"
"72",72,2.24738303734887,0.0514733629281386,"None","None","2 4 b","sim1 5000"
"73",73,2.2251231101766,0.0512794329880833,"None","None","2 4 b","sim1 5000"
"74",74,2.21317302225715,0.0516257803280157,"None","None","2 4 b","sim1 5000"
"75",75,2.19536418995718,0.0517947517721916,"None","None","2 4 b","sim1 5000"
"76",76,2.17409563304356,0.0514921046853291,"None","None","2 4 b","sim1 5000"
"77",77,2.1813924933604,0.0514773112170214,"None","None","2 4 b","sim1 5000"
"78",78,2.18178533740091,0.0513771841274073,"None","None","2 4 b","sim1 5000"
"79",79,2.17596029040493,0.051584346570267,"None","None","2 4 b","sim1 5000"
"80",80,2.16748911201112,0.0516093828725673,"None","None","2 4 b","sim1 5000"
"81",81,2.16074294600249,0.0516552212514778,"None","None","2 4 b","sim1 5000"
"82",82,2.15594701519579,0.0517396353569472,"None","None","2 4 b","sim1 5000"
"83",83,2.17758693908367,0.0519896052949172,"None","None","2 4 b","sim1 5000"
"84",84,2.15581286073634,0.0518543533918526,"None","None","2 4 b","sim1 5000"
"85",85,2.15616747611351,0.0522731358332004,"None","None","2 4 b","sim1 5000"
"86",86,2.15161088319684,0.0517729741638776,"None","None","2 4 b","sim1 5000"
"87",87,2.15795370894998,0.0515210548053402,"None","None","2 4 b","sim1 5000"
"88",88,2.14636453720211,0.0519953497844034,"None","None","2 4 b","sim1 5000"
"89",89,2.13249910171729,0.0519315306993618,"None","None","2 4 b","sim1 5000"
"90",90,2.15534116083681,0.051832828109418,"None","None","2 4 b","sim1 5000"
"91",91,2.15300905455023,0.0518202035878441,"None","None","2 4 b","sim1 5000"
"92",92,2.15187043945839,0.0519987468971096,"None","None","2 4 b","sim1 5000"
"93",93,2.13601451346842,0.0519949430867607,"None","None","2 4 b","sim1 5000"
"94",94,2.14571575827318,0.0520859844355069,"None","None","2 4 b","sim1 5000"
"95",95,2.14559380133251,0.0520908809597594,"None","None","2 4 b","sim1 5000"
"96",96,2.15568030401086,0.0521559733735723,"None","None","2 4 b","sim1 5000"
"97",97,2.16525204531485,0.0520555517521247,"None","None","2 4 b","sim1 5000"
"98",98,2.13696407881547,0.0520087250014088,"None","None","2 4 b","sim1 5000"
"99",99,2.15268663454918,0.0522422445357988,"None","None","2 4 b","sim1 5000"
